"primaryname","average_film_rating","number_films"
"James Stewart",8.1,11
"Humphrey Bogart",7.9,10
"Cary Grant",7.8,10
"Aamir Khan",7.7,11
"Tony Chiu-Wai Leung",7.7,10
"Ian McKellen",7.6,15
"Joe Pesci",7.5,10
"Leonardo DiCaprio",7.5,25
"Paul Newman",7.4,13
"Orlando Bloom",7.4,12
"Domhnall Gleeson",7.4,10
"Daniel Day-Lewis",7.4,10
"Gael García Bernal",7.3,10
"Mia Farrow",7.3,10
"Joan Allen",7.3,11
"Laura Dern",7.3,10
"Peter Sellers",7.3,10
"Philip Seymour Hoffman",7.3,20
"Tom Hardy",7.3,14
"Kevin Spacey",7.3,19
"Hugo Weaving",7.3,10
"Brad Pitt",7.3,37
"Robert Downey Jr.",7.3,26
"Dustin Hoffman",7.3,25
"Emily Watson",7.3,10
"Jack Nicholson",7.2,19
"Michael Caine",7.2,28
"Joseph Gordon-Levitt",7.2,17
"Kate Winslet",7.2,21
"Chris Cooper",7.2,13
"Clint Eastwood",7.2,33
"Ed Harris",7.2,20
"Carey Mulligan",7.2,12
"Al Pacino",7.2,29
"Daniel Radcliffe",7.2,14
"Jeremy Renner",7.2,14
"Dianne Wiest",7.2,13
"Andrew Garfield",7.2,10
"Christian Bale",7.2,30
"Ryan Gosling",7.1,19
"James Caan",7.1,11
"Ethan Hawke",7.1,23
"Emma Watson",7.1,14
"Woody Allen",7.1,23
"Harvey Keitel",7.1,16
"Joaquin Phoenix",7.1,20
"Edward Norton",7.1,22
"Jake Gyllenhaal",7.1,23
"Tom Hanks",7.1,43
"Simon Pegg",7.1,13
"Christopher Plummer",7.1,20
"Chris Pratt",7.1,11
"Diane Kruger",7.1,11
"Mark Ruffalo",7.1,21
"Shah Rukh Khan",7.1,23
"Matt Damon",7.1,38
"Juliette Lewis",7.1,10
"Robert Duvall",7.1,18
"Jennifer Jason Leigh",7.1,14
"Judi Dench",7.1,13
"Diane Keaton",7.1,19
"Denzel Washington",7.1,33
"Max von Sydow",7.1,13
"Robert Redford",7.1,21
"Brendan Gleeson",7.0,13
"Jessica Chastain",7.0,11
"Sean Penn",7.0,21
"Heath Ledger",7.0,13
"Patrick Stewart",7.0,11
"Holly Hunter",7.0,10
"Tobey Maguire",7.0,12
"Frances McDormand",7.0,15
"Jodie Foster",7.0,17
"Geoffrey Rush",7.0,19
"Matthew Goode",7.0,10
"Rachel McAdams",7.0,22
"Sam Neill",7.0,15
"Jeff Bridges",7.0,25
"Amy Adams",7.0,24
"Hugh Jackman",7.0,27
"Adam Driver",7.0,10
"Robin Wright",7.0,12
"Alan Arkin",7.0,12
"Harrison Ford",7.0,33
"Adrien Brody",7.0,13
"Chiwetel Ejiofor",7.0,12
"Benicio Del Toro",7.0,12
"Ben Foster",7.0,13
"Carrie-Anne Moss",7.0,10
"Tom Cruise",7.0,36
"Gene Hackman",7.0,26
"Catherine Keener",7.0,16
"John Candy",7.0,11
"Elijah Wood",7.0,15
"Scarlett Johansson",7.0,30
"Tim Robbins",7.0,17
"Daniel Craig",7.0,14
"Daniel Brühl",7.0,10
"Kevin Bacon",6.9,21
"Russell Crowe",6.9,29
